color,from,l,a,b,parent
曙红,中国美色_中国国家地理,45.871,47.236,46.53,赤
曙红,绞丝染色基本色谱_何进丰,43,55,23,赤
橙色,DIC中国传统色,57.891,30.342,50.018,赤
粉橙色,DIC中国传统色,66.873,26.318,38.757,赤
緅絺,故宫里的色彩美学_郭浩,37.764,18.955,26.91,赤
朱石栗,故宫里的色彩美学_郭浩,37.143,21.009,27.363,赤
小红,染作江南春水色_金成熺,55.44,29.48,21.97,赤
茶褐,染作江南春水色_金成熺,55.44,29.48,21.97,黑
珊瑚赫,故宫里的色彩美学_郭浩,43.125,57.374,44.101,赤
綪茷,故宫里的色彩美学_郭浩,36.067,47.085,33.252,赤
黄丹,故宫里的色彩美学_郭浩,56.133,55.183,61.771,赤
洛神珠,故宫里的色彩美学_郭浩,47.878,58.187,52.528,赤
丹雘,故宫里的色彩美学_郭浩,42.682,64.538,45.256,赤
水华朱,故宫里的色彩美学_郭浩,36.829,53.072,32.261,赤
朱颜酡,故宫里的色彩美学_郭浩,71.759,29.213,32.57,赤
丹罽,故宫里的色彩美学_郭浩,48.099,74.232,56.84,赤
朱孔阳,故宫里的色彩美学_郭浩,39.898,60.281,27.572,赤
胭脂虫,故宫里的色彩美学_郭浩,37.216,55.203,35.258,赤
朱樱,故宫里的色彩美学_郭浩,31.43,46.791,27.322,赤
琼琚,故宫里的色彩美学_郭浩,62.159,31.497,28.193,赤
岱赭,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,31.33,27.21,16.82,赤
朱殷,故宫里的色彩美学_郭浩,43.483,50.011,40.3,赤
光明砂,故宫里的色彩美学_郭浩,52.701,40.789,52.837,赤
媚蝶,故宫里的色彩美学_郭浩,54.156,26.314,42.949,赤
韎韐,故宫里的色彩美学_郭浩,43.533,28.337,41.433,赤
铅丹,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,64.43,54.22,53.91,赤
朱缥,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,64.48,54.19,51,赤
朱砂,钧瓷色彩的特征与分类体系研究_王庆斌,30.425,40.166,17.9,赤
赤色,中国颜色_黄仁达,44.585,62.828,34.883,赤
大红,中国传统色彩图鉴_鸿洋,47,68.006,47.976,赤
绛色,中国颜色_黄仁达,47,68.006,47.976,赤
绛色,中国美色_中国国家地理,47,68.006,47.976,赤
绛色,古色之美_青简,27.743,31.679,18.228,赤
浅桔红,绞丝染色基本色谱_何进丰,70,36,37,赤
深肉色,绞丝染色基本色谱_何进丰,75,31,35,赤
深米棕,绞丝染色基本色谱_何进丰,66,28,42,赤
宝石红,钧瓷色彩的特征与分类体系研究_王庆斌,40.224,60.233,43.086,赤
火焰红,钧瓷色彩的特征与分类体系研究_王庆斌,40.771,59.726,41.579,赤
朝霞红,钧瓷色彩的特征与分类体系研究_王庆斌,23.892,44.028,28.149,赤
牛血红,钧瓷色彩的特征与分类体系研究_王庆斌,38.528,55.334,42.242,赤
茶叶末,钧瓷色彩的特征与分类体系研究_王庆斌,36.617,21.629,36.047,赤
罗兰紫,钧瓷色彩的特征与分类体系研究_王庆斌,24.179,41.32,28.284,赤
樱红,涤棉色谱_何进丰,52,61,28,赤
赤,先秦色彩_肖世孟,66,52,31,赤
杏黄,国标,72,35.4,54.8,黄
杏黄,色谱_perchouli,69.279,34.007,71.631,黄
杏黄,乾隆色谱_刘剑,73,16,85,黄
杏黄,故宫里的色彩美学_郭浩,57.787,23.38,60.275,黄
杏黄,古色之美_青简,65.004,33.254,60.423,黄
杏黄,染色样本士林类_何进丰,67,9,25,黄
杏黄,染色样本纳夫妥类_何进丰,60,24,28,黄
杏黄,染色样本硫化类_何进丰,59,10,24,黄
杏黄,绞丝染色基本色谱_何进丰,88,5,50,黄
浅杏黄,绞丝染色基本色谱_何进丰,88,5,50,黄
杏黄,中国色名综览_凑幸卫,76.50751126,35.55919481,42.30820374,黄
米黄,国标,90.3,0,7.2,黄
米色,国标,90.3,0,7.2,黄
米白,国标,90.3,0,7.2,黄
米黄,中国美色_中国国家地理,92.568,-0.89,5.192,黄
米白,中国美色_中国国家地理,92.568,-0.89,5.192,黄
米黄,中国色名综览_凑幸卫,91.08182304,6.52712531,8.818286854,黄
米白,色谱_perchouli,90.471,6.119,12.08,黄
蜜黄,涤棉色谱_何进丰,89,1,43,黄
蜜黄,中国色名综览_凑幸卫,83.8614894,17.70317431,37.54357758,黄
黄,国标,80.4,3.9,89.9,黄
